m,Geographic area,Indicator,Sex,Series Name,Series Year,TIME_PERIOD,Unit of measure,STD_ERR,INTERVAL
203044,Kenya,Infant mortality rate,Total,Demographic Survey 1983 (Indirect),1983,1981-02,Deaths per 1000 live births,,
203045,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1954-01,Deaths per 1000 live births,15.1,2
203046,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1956-01,Deaths per 1000 live births,14.3,2
203047,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1958-01,Deaths per 1000 live births,11.9,2
203048,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1960-01,Deaths per 1000 live births,11.9,2
203049,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1962-01,Deaths per 1000 live births,12.4,2
203050,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1964-01,Deaths per 1000 live births,7.8,2
203051,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1966-01,Deaths per 1000 live births,8.8,2
203052,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1968-01,Deaths per 1000 live births,8.7,2
203053,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1970-01,Deaths per 1000 live births,8.1,2
203054,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1972-01,Deaths per 1000 live births,6.2,2
203055,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1974-01,Deaths per 1000 live births,5.8,2
203056,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Direct),1977-1978,1976-01,Deaths per 1000 live births,6.4,2
203057,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Indirect),1977-1978,1964-01,Deaths per 1000 live births,,
203058,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Indirect),1977-1978,1966-10,Deaths per 1000 live births,,
203059,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Indirect),1977-1978,1969-05,Deaths per 1000 live births,,
203060,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Indirect),1977-1978,1971-09,Deaths per 1000 live births,,
203061,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Indirect),1977-1978,1973-10,Deaths per 1000 live births,,
203062,Kenya,Infant mortality rate,Total,World Fertility Survey 1977-1978 (Indirect),1977-1978,1975-08,Deaths per 1000 live births,,
203063,Kenya,Infant mortality rate,Total,Demographic Survey 1977 (Indirect),1977,1962-10,Deaths per 1000 live births,,
203064,Kenya,Infant mortality rate,Total,Demographic Survey 1977 (Indirect),1977,1965-08,Deaths per 1000 live births,,
203065,Kenya,Infant mortality rate,Total,Demographic Survey 1977 (Indirect),1977,1968-03,Deaths per 1000 live births,,
203066,Kenya,Infant mortality rate,Total,Demographic Survey 1977 (Indirect),1977,1970-09,Deaths per 1000 live births,,
203067,Kenya,Infant mortality rate,Total,Demographic Survey 1977 (Indirect),1977,1972-10,Deaths per 1000 live births,,
203068,Kenya,Infant mortality rate,Total,Demographic Survey 1977 (Indirect),1977,1974-08,Deaths per 1000 live births,,
203069,Kenya,Infant mortality rate,Total,Census 1969 (Indirect),1969,1955-01,Deaths per 1000 live births,,
203070,Kenya,Infant mortality rate,Total,Census 1969 (Indirect),1969,1957-11,Deaths per 1000 live births,,
203071,Kenya,Infant mortality rate,Total,Census 1969 (Indirect),1969,1960-08,Deaths per 1000 live births,,
203072,Kenya,Infant mortality rate,Total,Census 1969 (Indirect),1969,1963-01,Deaths per 1000 live births,,
203073,Kenya,Infant mortality rate,Total,Census 1969 (Indirect),1969,1965-04,Deaths per 1000 live births,,
203074,Kenya,Infant mortality rate,Total,Census 1969 (Indirect),1969,1967-03,Deaths per 1000 live births,,
203075,Kenya,Infant mortality rate,Total,Demographic and Health Survey 1988-1989 (Indirect),1988-1989,1986-10,Deaths per 1000 live births,,
203076,Kenya,Infant mortality rate,Total,Census 1989 (Indirect),1989,1975-04,Deaths per 1000 live births,,
203077,Kenya,Infant mortality rate,Total,Census 1989 (Indirect),1989,1978-03,Deaths per 1000 live births,,
203078,Kenya,Infant mortality rate,Total,Census 1989 (Indirect),1989,1980-10,Deaths per 1000 live births,,
203079,Kenya,Infant mortality rate,Total,Census 1989 (Indirect),1989,1983-03,Deaths per 1000 live births,,
203080,Kenya,Infant mortality rate,Total,Census 1989 (Indirect),1989,1985-05,Deaths per 1000 live births,,
203081,Kenya,Infant mortality rate,Total,Census 1989 (Indirect),1989,1987-03,Deaths per 1000 live births,,
203082,Kenya,Infant mortality rate,Total,Census 1999 (Indirect),1999,1985-03,Deaths per 1000 live births,,
203083,Kenya,Infant mortality rate,Total,Census 1999 (Indirect),1999,1988-01,Deaths per 1000 live births,,
203084,Kenya,Infant mortality rate,Total,Census 1999 (Indirect),1999,1990-08,Deaths per 1000 live births,,
203085,Kenya,Infant mortality rate,Total,Census 1999 (Indirect),1999,1993-01,Deaths per 1000 live births,,
203086,Kenya,Infant mortality rate,Total,Census 1999 (Indirect),1999,1995-03,Deaths per 1000 live births,,
203087,Kenya,Infant mortality rate,Total,Census 1999 (Indirect),1999,1997-01,Deaths per 1000 live births,,
203088,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1952-06,Deaths per 1000 live births,,1
203089,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1953-06,Deaths per 1000 live births,,1
203090,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1954-06,Deaths per 1000 live births,,1
203091,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1955-06,Deaths per 1000 live births,,1
203092,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1956-06,Deaths per 1000 live births,,1
203093,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1957-06,Deaths per 1000 live births,,1
203094,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1958-06,Deaths per 1000 live births,,1
203095,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1959-06,Deaths per 1000 live births,,1
203096,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1960-06,Deaths per 1000 live births,,1
203097,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1961-06,Deaths per 1000 live births,,1
203098,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1962-06,Deaths per 1000 live births,,1
203099,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1963-06,Deaths per 1000 live births,,1
203100,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1964-06,Deaths per 1000 live births,,1
203101,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1965-06,Deaths per 1000 live births,,1
203102,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1966-06,Deaths per 1000 live births,,1
203103,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1967-06,Deaths per 1000 live births,,1
203104,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1968-06,Deaths per 1000 live births,,1
203105,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1969-06,Deaths per 1000 live births,,1
203106,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1970-06,Deaths per 1000 live births,,1
203107,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1971-06,Deaths per 1000 live births,,1
203108,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1972-06,Deaths per 1000 live births,,1
203109,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1973-06,Deaths per 1000 live births,,1
203110,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1974-06,Deaths per 1000 live births,,1
203111,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1975-06,Deaths per 1000 live births,,1
203112,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1976-06,Deaths per 1000 live births,,1
203113,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1977-06,Deaths per 1000 live births,,1
203114,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1978-06,Deaths per 1000 live births,,1
203115,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1979-06,Deaths per 1000 live births,,1
203116,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1980-06,Deaths per 1000 live births,,1
203117,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1981-06,Deaths per 1000 live births,,1
203118,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1982-06,Deaths per 1000 live births,,1
203119,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1983-06,Deaths per 1000 live births,,1
203120,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1984-06,Deaths per 1000 live births,,1
203121,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1985-06,Deaths per 1000 live births,,1
203122,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1986-06,Deaths per 1000 live births,,1
203123,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1987-06,Deaths per 1000 live births,,1
203124,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1988-06,Deaths per 1000 live births,,1
203125,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1989-06,Deaths per 1000 live births,,1
203126,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1990-06,Deaths per 1000 live births,,1
203127,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1991-06,Deaths per 1000 live births,,1
203128,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1992-06,Deaths per 1000 live births,,1
203129,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1993-06,Deaths per 1000 live births,,1
203130,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1994-06,Deaths per 1000 live births,,1
203131,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1995-06,Deaths per 1000 live births,,1
203132,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1996-06,Deaths per 1000 live births,,1
203133,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1997-06,Deaths per 1000 live births,,1
203134,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1998-06,Deaths per 1000 live births,,1
203135,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,1999-06,Deaths per 1000 live births,,1
203136,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2000-06,Deaths per 1000 live births,,1
203137,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2001-06,Deaths per 1000 live births,,1
203138,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2002-06,Deaths per 1000 live births,,1
203139,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2003-06,Deaths per 1000 live births,,1
203140,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2004-06,Deaths per 1000 live births,,1
203141,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2005-06,Deaths per 1000 live births,,1
203142,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2006-06,Deaths per 1000 live births,,1
203143,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2007-06,Deaths per 1000 live births,,1
203144,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2008-06,Deaths per 1000 live births,,1
203145,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2009-06,Deaths per 1000 live births,,1
203146,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2010-06,Deaths per 1000 live births,,1
203147,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2011-06,Deaths per 1000 live births,,1
203148,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2012-06,Deaths per 1000 live births,,1
203149,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2013-06,Deaths per 1000 live births,,1
203150,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2014-06,Deaths per 1000 live births,,1
203151,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2015-06,Deaths per 1000 live births,,1
203152,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2016-06,Deaths per 1000 live births,,1
203153,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2017-06,Deaths per 1000 live births,,1
203154,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2018-06,Deaths per 1000 live births,,1
203155,Kenya,Infant mortality rate,Total,UN IGME estimate,2020,2019-06,Deaths per 1000 live births,,1
203156,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2014 (Direct),2014,1991-06,Deaths per 1000 live births,7.527918,5
203157,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2014 (Direct),2014,1996-01,Deaths per 1000 live births,6.122586,4
203158,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2014 (Direct),2014,2000-01,Deaths per 1000 live births,5.376719,4
203159,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2014 (Direct),2014,2004-01,Deaths per 1000 live births,4.420032,4
203160,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2014 (Direct),2014,2008-01,Deaths per 1000 live births,3.798053,4
203161,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2014 (Direct),2014,2012-01,Deaths per 1000 live births,3.564405,4
203162,Kenya,Under-five mortality rate,Female,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1987-11,Deaths per 1000 live births,7.930038,
203163,Kenya,Under-five mortality rate,Female,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1990-10,Deaths per 1000 live births,7.44089,
203164,Kenya,Under-five mortality rate,Female,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1993-05,Deaths per 1000 live births,7.976224,
203165,Kenya,Under-five mortality rate,Female,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1995-12,Deaths per 1000 live births,8.888274,
203166,Kenya,Under-five mortality rate,Female,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1998-08,Deaths per 1000 live births,15.80017,
203167,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2003 (Direct),2003,1980-06,Deaths per 1000 live births,15.13551,5
203168,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2003 (Direct),2003,1985-06,Deaths per 1000 live births,10.1617,5
203169,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2003 (Direct),2003,1990-06,Deaths per 1000 live births,9.373972,5
203170,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2003 (Direct),2003,1995-06,Deaths per 1000 live births,7.856432,5
203171,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2003 (Direct),2003,2000-06,Deaths per 1000 live births,6.700018,5
203172,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1998 (Direct),1998,1975-06,Deaths per 1000 live births,13.41084,5
203173,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1998 (Direct),1998,1980-06,Deaths per 1000 live births,7.990066,5
203174,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1998 (Direct),1998,1985-06,Deaths per 1000 live births,7.510172,5
203175,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1998 (Direct),1998,1990-06,Deaths per 1000 live births,6.157673,5
203176,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1998 (Direct),1998,1995-06,Deaths per 1000 live births,7.350638,5
203177,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1989 (Direct),1989,1965-06,Deaths per 1000 live births,17.20251,5
203178,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1989 (Direct),1989,1970-06,Deaths per 1000 live births,11.13304,5
203179,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1989 (Direct),1989,1975-06,Deaths per 1000 live births,10.60331,5
203180,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1989 (Direct),1989,1980-06,Deaths per 1000 live births,9.203206,5
203181,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 1989 (Direct),1989,1985-06,Deaths per 1000 live births,6.176919,5
203182,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1985-06,Deaths per 1000 live births,15.44367,5
203183,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1990-06,Deaths per 1000 live births,11.27652,5
203184,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2008-2009 (Direct),2008-2009,1995-06,Deaths per 1000 live births,11.70597,5
203185,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2008-2009 (Direct),2008-2009,2000-06,Deaths per 1000 live births,12.94968,5
203186,Kenya,Under-five mortality rate,Female,Demographic and Health Survey 2008-2009 (Direct),2008-2009,2005-06,Deaths per 1000 live births,12.2161,5
203187,Kenya,Under-five mortality rate,Female,Malaria Indicator Survey 2015 (Indirect),2015,2001-01,Deaths per 1000 live births,12.29189,
203188,Kenya,Under-five mortality rate,Female,Malaria Indicator Survey 2015 (Indirect),2015,2003-11,Deaths per 1000 live births,10.31326,
203189,Kenya,Under-five mortality rate,Female,Malaria Indicator Survey 2015 (Indirect),2015,2006-08,Deaths per 1000 live births,9.523504,
203190,Kenya,Under-five mortality rate,Female,Malaria Indicator Survey 2015 (Indirect),2015,2009-02,Deaths per 1000 live births,9.16598,
203191,Kenya,Under-five mortality rate,Female,Malaria Indicator Survey 2015 (Indirect),2015,2011-04,Deaths per 1000 live births,10.41772,
203192,Kenya,Under-five mortality rate,Female,Malaria Indicator Survey 2015 (Indirect),2015,2013-03,Deaths per 1000 live births,8.986072,
203193,Kenya,Under-five mortality rate,Female,World Fertility Survey 1977-1978 (Direct),1977-1978,1954-06,Deaths per 1000 live births,18.56256,5
203194,Kenya,Under-five mortality rate,Female,World Fertility Survey 1977-1978 (Direct),1977-1978,1959-06,Deaths per 1000 live births,16.02717,5
203195,Kenya,Under-five mortality rate,Female,World Fertility Survey 1977-1978 (Direct),1977-1978,1964-06,Deaths per 1000 live births,9.772228,5
203196,Kenya,Under-five mortality rate,Female,World Fertility Survey 1977-1978 (Direct),1977-1978,1969-06,Deaths per 1000 live births,10.4806,5
203197,Kenya,Under-five mortality rate,Female,World Fertility Survey 1977-1978 (Direct),1977-1978,1974-06,Deaths per 1000 live births,7.858409,5
203198,Kenya,Under-five mortality rate,Female,Census 1989 (Indirect),1989,1975-03,Deaths per 1000 live births,,
203199,Kenya,Under-five mortality rate,Female,Census 1989 (Indirect),1989,1978-02,Deaths per 1000 live births,,
203200,Kenya,Under-five mortality rate,Female,Census 1989 (Indirect),1989,1980-09,Deaths per 1000 live births,,
203201,Kenya,Under-five mortality rate,Female,Census 1989 (Indirect),1989,1983-02,Deaths per 1000 live births,,
203202,Kenya,Under-five mortality rate,Female,Census 1989 (Indirect),1989,1985-03,Deaths per 1000 live births,,
203203,Kenya,Under-five mortality rate,Female,Census 1989 (Indirect),1989,1987-02,Deaths per 1000 live births,,
203204,Kenya,Under-five mortality rate,Female,Census 1999 (Indirect),1999,1985-04,Deaths per 1000 live births,,
203205,Kenya,Under-five mortality rate,Female,Census 1999 (Indirect),1999,1988-02,Deaths per 1000 live births,,
203206,Kenya,Under-five mortality rate,Female,Census 1999 (Indirect),1999,1990-09,Deaths per 1000 live births,,
203207,Kenya,Under-five mortality rate,Female,Census 1999 (Indirect),1999,1993-01,Deaths per 1000 live births,,
203208,Kenya,Under-five mortality rate,Female,Census 1999 (Indirect),1999,1995-03,Deaths per 1000 live births,,
203209,Kenya,Under-five mortality rate,Female,Census 1999 (Indirect),1999,1997-01,Deaths per 1000 live births,,
203210,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1952-06,Deaths per 1000 live births,,1
203211,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1953-06,Deaths per 1000 live births,,1
203212,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1954-06,Deaths per 1000 live births,,1
203213,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1955-06,Deaths per 1000 live births,,1
203214,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1956-06,Deaths per 1000 live births,,1
203215,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1957-06,Deaths per 1000 live births,,1
203216,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1958-06,Deaths per 1000 live births,,1
203217,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1959-06,Deaths per 1000 live births,,1
203218,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1960-06,Deaths per 1000 live births,,1
203219,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1961-06,Deaths per 1000 live births,,1
203220,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1962-06,Deaths per 1000 live births,,1
203221,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1963-06,Deaths per 1000 live births,,1
203222,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1964-06,Deaths per 1000 live births,,1
203223,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1965-06,Deaths per 1000 live births,,1
203224,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1966-06,Deaths per 1000 live births,,1
203225,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1967-06,Deaths per 1000 live births,,1
203226,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1968-06,Deaths per 1000 live births,,1
203227,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1969-06,Deaths per 1000 live births,,1
203228,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1970-06,Deaths per 1000 live births,,1
203229,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1971-06,Deaths per 1000 live births,,1
203230,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1972-06,Deaths per 1000 live births,,1
203231,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1973-06,Deaths per 1000 live births,,1
203232,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1974-06,Deaths per 1000 live births,,1
203233,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1975-06,Deaths per 1000 live births,,1
203234,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1976-06,Deaths per 1000 live births,,1
203235,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1977-06,Deaths per 1000 live births,,1
203236,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1978-06,Deaths per 1000 live births,,1
203237,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1979-06,Deaths per 1000 live births,,1
203238,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1980-06,Deaths per 1000 live births,,1
203239,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1981-06,Deaths per 1000 live births,,1
203240,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1982-06,Deaths per 1000 live births,,1
203241,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1983-06,Deaths per 1000 live births,,1
203242,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1984-06,Deaths per 1000 live births,,1
203243,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1985-06,Deaths per 1000 live births,,1
203244,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1986-06,Deaths per 1000 live births,,1
203245,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1987-06,Deaths per 1000 live births,,1
203246,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1988-06,Deaths per 1000 live births,,1
203247,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1989-06,Deaths per 1000 live births,,1
203248,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1990-06,Deaths per 1000 live births,,1
203249,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1991-06,Deaths per 1000 live births,,1
203250,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1992-06,Deaths per 1000 live births,,1
203251,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1993-06,Deaths per 1000 live births,,1
203252,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1994-06,Deaths per 1000 live births,,1
203253,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1995-06,Deaths per 1000 live births,,1
203254,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1996-06,Deaths per 1000 live births,,1
203255,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1997-06,Deaths per 1000 live births,,1
203256,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1998-06,Deaths per 1000 live births,,1
203257,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,1999-06,Deaths per 1000 live births,,1
203258,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2000-06,Deaths per 1000 live births,,1
203259,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2001-06,Deaths per 1000 live births,,1
203260,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2002-06,Deaths per 1000 live births,,1
203261,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2003-06,Deaths per 1000 live births,,1
203262,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2004-06,Deaths per 1000 live births,,1
203263,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2005-06,Deaths per 1000 live births,,1
203264,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2006-06,Deaths per 1000 live births,,1
203265,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2007-06,Deaths per 1000 live births,,1
203266,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2008-06,Deaths per 1000 live births,,1
203267,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2009-06,Deaths per 1000 live births,,1
203268,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2010-06,Deaths per 1000 live births,,1
203269,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2011-06,Deaths per 1000 live births,,1
203270,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2012-06,Deaths per 1000 live births,,1
203271,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2013-06,Deaths per 1000 live births,,1
203272,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2014-06,Deaths per 1000 live births,,1
203273,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2015-06,Deaths per 1000 live births,,1
203274,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2016-06,Deaths per 1000 live births,,1
203275,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2017-06,Deaths per 1000 live births,,1
203276,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2018-06,Deaths per 1000 live births,,1
203277,Kenya,Under-five mortality rate,Female,UN IGME estimate,2020,2019-06,Deaths per 1000 live births,,1
203278,Kenya,Under-five mortality rate,Male,Demographic and Health Survey 2014 (Direct),2014,1991-06,Deaths per 1000 live births,8.184462,5
203279,Kenya,Under-five mortality rate,Male,Demographic and Health Survey 2014 (Direct),2014,1996-01,Deaths per 1000 live births,6.659784,4
203280,Kenya,Under-five mortality rate,Male,Demographic and Health Survey 2014 (Direct),2014,2000-01,Deaths per 1000 live births,5.066234,4
203281,Kenya,Under-five mortality rate,Male,Demographic and Health Survey 2014 (Direct),2014,2004-01,Deaths per 1000 live births,4.393366,4
203282,Kenya,Under-five mortality rate,Male,Demographic and Health Survey 2014 (Direct),2014,2008-01,Deaths per 1000 live births,4.03069,4
203283,Kenya,Under-five mortality rate,Male,Demographic and Health Survey 2014 (Direct),2014,2012-01,Deaths per 1000 live births,3.213169,4
203284,Kenya,Under-five mortality rate,Male,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1987-11,Deaths per 1000 live births,8.350181,
203285,Kenya,Under-five mortality rate,Male,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1990-10,Deaths per 1000 live births,7.620034,
